t_s,v_ms,f_ZZ_Hz,f_REF_Hz,H_eff_s,P_gov_MW,omega0_rads,Pelec0_MW,Pzz0_kW,lam0,omega1_rads,Pelec1_MW,Pzz1_kW,lam1,omega2_rads,Pelec2_MW,Pzz2_kW,lam2,omega3_rads,Pelec3_MW,Pzz3_kW,lam3,omega4_rads,Pelec4_MW,Pzz4_kW,lam4
0.0,12.048,50.0,50.0,4.009766,0.0,1.2472,6.492,0.0,6.225,1.2472,6.492,0.0,6.225,1.2472,6.492,0.0,6.225,1.2472,6.492,0.0,6.225,1.2472,6.492,0.0,6.225
0.02,12.053,50.0,50.0,4.009722,0.0,1.2446,6.4249,11.309,6.209,1.2446,6.4249,-11.309,6.209,1.2446,6.4249,-11.309,6.209,1.2446,6.4249,11.309,6.209,1.2446,6.4249,0.0,6.209
0.04,12.057,50.0,50.0,4.009681,0.0,1.2423,6.3638,22.61,6.193,1.2421,6.3621,-22.61,6.193,1.2421,6.3621,-22.61,6.193,1.2423,6.3638,22.61,6.193,1.2422,6.363,0.0,6.193
0.06,12.062,50.0,50.0,4.009644,0.0,1.2402,6.3083,33.897,6.18,1.2398,6.3033,-33.897,6.178,1.2398,6.3033,-33.897,6.178,1.2402,6.3083,33.897,6.18,1.24,6.3058,0.0,6.179
0.08,12.067,50.0,50.0,4.009609,0.0,1.2382,6.258,45.163,6.167,1.2376,6.2482,-45.163,6.165,1.2376,6.2482,-45.163,6.165,1.2382,6.258,45.163,6.167,1.2379,6.2531,0.0,6.166
0.1,12.071,50.0,50.0,4.009577,0.0,1.2365,6.2125,56.4,6.155,1.2355,6.1964,-56.4,6.151,1.2355,6.1964,-56.4,6.151,1.2365,6.2125,56.4,6.155,1.236,6.2045,0.0,6.153
0.12,12.076,50.0,50.0,4.009548,0.0,1.2349,6.1714,67.602,6.144,1.2336,6.1479,-67.602,6.139,1.2336,6.1479,-67.602,6.139,1.2349,6.1714,67.602,6.144,1.2342,6.1596,0.0,6.141
0.14,12.08,50.0,50.0,4.009521,0.0,1.2335,6.1343,78.76,6.134,1.2317,6.1022,-78.76,6.127,1.2317,6.1022,-78.76,6.127,1.2335,6.1343,78.76,6.134,1.2326,6.1183,0.0,6.13
0.16,12.084,50.0,50.0,4.009496,0.0,1.2322,6.1011,89.869,6.124,1.23,6.0593,-89.869,6.116,1.23,6.0593,-89.869,6.116,1.2322,6.1011,89.869,6.124,1.2311,6.0802,0.0,6.12
0.18,12.089,50.0,50.0,4.009473,0.0,1.2311,6.0715,100.922,6.116,1.2284,6.0188,-100.922,6.105,1.2284,6.0188,-100.922,6.105,1.2311,6.0715,100.922,6.116,1.2297,6.0451,0.0,6.11
0.2,12.093,50.0,50.0,4.009452,0.0,1.2301,6.0451,111.91,6.108,1.2268,5.9808,-111.91,6.094,1.2268,5.9808,-111.91,6.094,1.2301,6.045,111.91,6.108,1.2285,6.0129,0.0,6.101
0.22,12.098,50.0,50.0,4.009432,0.0,1.2292,6.0217,122.828,6.101,1.2254,5.9448,-122.828,6.084,1.2254,5.9448,-122.828,6.084,1.2292,6.0217,122.828,6.101,1.2273,5.9832,0.0,6.093
0.24,12.102,50.0,50.0,4.009414,0.0,1.2285,6.0011,133.669,6.094,1.224,5.9109,-133.669,6.075,1.224,5.9109,-133.669,6.075,1.2285,6.0011,133.669,6.094,1.2262,5.956,0.0,6.085
0.26,12.107,50.0,50.0,4.009398,0.0,1.2278,5.9832,144.425,6.088,1.2227,5.8789,-144.425,6.066,1.2227,5.8789,-144.425,6.066,1.2278,5.9832,144.425,6.088,1.2252,5.931,0.0,6.077
0.28,12.111,50.0,50.0,4.009382,0.0,1.2272,5.9677,155.089,6.083,1.2214,5.8486,-155.089,6.057,1.2214,5.8486,-155.089,6.057,1.2272,5.9676,155.089,6.083,1.2243,5.9081,0.0,6.07
0.3,12.115,50.0,50.0,4.009369,0.0,1.2267,5.9544,165.656,6.078,1.2202,5.82,-165.656,6.049,1.2202,5.82,-165.656,6.049,1.2267,5.9544,165.656,6.078,1.2235,5.8872,0.0,6.063
0.32,12.12,50.0,50.0,4.009356,0.0,1.2263,5.9432,176.118,6.073,1.2191,5.7929,-176.118,6.041,1.2191,5.7929,-176.118,6.041,1.2263,5.9432,176.118,6.073,1.2227,5.868,0.0,6.057
0.34,12.124,50.0,50.0,4.009344,0.0,1.226,5.9339,186.469,6.069,1.2181,5.7672,-186.469,6.033,1.2181,5.7672,-186.469,6.033,1.226,5.9339,186.469,6.069,1.2221,5.8505,0.0,6.051
0.36,12.128,50.0,50.0,4.009334,0.0,1.2258,5.9264,196.702,6.065,1.2171,5.7428,-196.702,6.026,1.2171,5.7428,-196.702,6.026,1.2258,5.9264,196.702,6.065,1.2214,5.8346,0.0,6.046
0.38,12.133,50.0,50.0,4.009324,0.0,1.2256,5.9206,206.811,6.062,1.2161,5.7197,-206.811,6.019,1.2161,5.7197,-206.811,6.019,1.2256,5.9206,206.811,6.062,1.2209,5.8201,0.0,6.04
0.4,12.137,50.0,50.0,4.009316,0.0,1.2255,5.9163,216.789,6.059,1.2152,5.6977,-216.789,6.012,1.2152,5.6977,-216.789,6.012,1.2255,5.9163,216.789,6.059,1.2203,5.8069,0.0,6.035
0.42,12.141,50.0,50.0,4.009308,0.0,1.2254,5.9134,226.63,6.056,1.2143,5.6768,-226.63,6.005,1.2143,5.6769,-226.63,6.005,1.2254,5.9134,226.63,6.056,1.2199,5.7951,0.0,6.031
0.44,12.146,50.0,50.0,4.009301,0.0,1.2254,5.9119,236.329,6.054,1.2135,5.657,-236.329,5.999,1.2135,5.657,-236.329,5.999,1.2254,5.9118,236.329,6.054,1.2195,5.7844,0.0,6.026
0.46,12.15,50.0,50.0,4.009294,0.0,1.2254,5.9115,245.877,6.051,1.2127,5.6381,-245.877,5.993,1.2127,5.6381,-245.877,5.993,1.2254,5.9114,245.877,6.051,1.2191,5.7747,0.0,6.022
0.48,12.154,50.0,50.0,4.009288,0.0,1.2255,5.9123,255.271,6.049,1.212,5.6201,-255.271,5.987,1.212,5.6202,-255.271,5.987,1.2255,5.9122,255.271,6.049,1.2188,5.7661,0.0,6.018
0.5,12.158,50.0,50.0,4.009283,0.0,1.2256,5.914,264.503,6.048,1.2112,5.603,-264.503,5.981,1.2113,5.6031,-264.503,5.981,1.2256,5.914,264.503,6.048,1.2185,5.7584,0.0,6.014
0.52,12.162,50.0,50.0,4.009279,0.0,1.2258,5.9168,273.569,6.046,1.2106,5.5867,-273.569,5.975,1.2106,5.5867,-273.569,5.975,1.2258,5.9167,273.569,6.046,1.2182,5.7516,0.0,6.011
0.54,12.167,50.0,50.0,4.009275,0.0,1.2259,5.9204,282.461,6.045,1.2099,5.5711,-282.461,5.97,1.2099,5.5712,-282.461,5.97,1.2259,5.9202,282.461,6.045,1.218,5.7456,0.0,6.008
0.56,12.171,50.0,50.0,4.009271,0.0,1.2262,5.9247,291.175,6.044,1.2093,5.5563,-291.175,5.965,1.2093,5.5564,-291.175,5.965,1.2262,5.9246,291.175,6.044,1.2178,5.7404,0.0,6.004
0.58,12.175,50.0,50.0,4.009268,0.0,1.2264,5.9298,299.705,6.043,1.2087,5.5421,-299.705,5.96,1.2087,5.5422,-299.705,5.96,1.2264,5.9297,299.705,6.043,1.2176,5.7359,0.0,6.001
0.6,12.179,50.0,50.0,4.009266,0.0,1.2267,5.9356,308.046,6.042,1.2081,5.5286,-308.046,5.955,1.2081,5.5288,-308.046,5.955,1.2267,5.9354,308.046,6.042,1.2175,5.732,0.0,5.998
0.62,12.183,50.0,50.0,4.009264,0.0,1.227,5.942,316.192,6.041,1.2076,5.5157,-316.192,5.95,1.2076,5.5159,-316.192,5.95,1.227,5.9418,316.192,6.041,1.2173,5.7288,0.0,5.996
0.64,12.187,50.0,50.0,4.009262,0.0,1.2273,5.9489,324.139,6.041,1.2071,5.5034,-324.139,5.945,1.2071,5.5036,-324.139,5.945,1.2273,5.9487,324.139,6.041,1.2173,5.7261,0.0,5.993
0.66,12.192,50.0,50.0,4.00926,0.0,1.2276,5.9563,331.881,6.04,1.2066,5.4917,-331.881,5.941,1.2066,5.4919,-331.881,5.941,1.2276,5.9561,331.881,6.04,1.2172,5.7239,0.0,5.991
0.68,12.196,50.0,50.0,4.009259,0.0,1.228,5.9641,339.413,6.04,1.2061,5.4805,-339.413,5.936,1.2061,5.4807,-339.413,5.936,1.228,5.9639,339.413,6.04,1.2171,5.7223,0.0,5.988
0.7,12.2,50.0,50.0,4.009258,0.0,1.2284,5.9724,346.731,6.039,1.2057,5.4698,-346.731,5.932,1.2057,5.4701,-346.731,5.932,1.2284,5.9721,346.731,6.039,1.2171,5.7211,0.0,5.986
0.72,12.204,50.0,50.0,4.009258,0.0,1.2287,5.9809,353.83,6.039,1.2052,5.4597,-353.83,5.928,1.2052,5.46,-353.83,5.928,1.2287,5.9806,353.83,6.039,1.2171,5.7203,0.0,5.984
0.74,12.208,50.0,50.0,4.009258,0.0,1.2291,5.9898,360.705,6.039,1.2048,5.45,-360.705,5.924,1.2048,5.4503,-360.705,5.924,1.2291,5.9895,360.705,6.039,1.2171,5.7199,0.0,5.982
0.76,12.212,50.0,50.0,4.009258,0.0,1.2295,5.999,367.353,6.039,1.2044,5.4407,-367.353,5.92,1.2044,5.4411,-367.353,5.92,1.2295,5.9987,367.353,6.039,1.2171,5.7199,0.0,5.98
0.78,12.216,50.0,50.0,4.009258,0.0,1.23,6.0084,373.768,6.039,1.2041,5.432,-373.768,5.916,1.2041,5.4323,-373.768,5.916,1.2299,6.008,373.768,6.039,1.2171,5.7203,0.0,5.978
0.8,12.22,50.0,50.0,4.009258,0.0,1.2304,6.018,379.948,6.039,1.2037,5.4236,-379.948,5.912,1.2037,5.424,-379.948,5.912,1.2304,6.0176,379.948,6.039,1.2172,5.7209,0.0,5.976
0.82,12.224,50.0,50.0,4.009259,0.0,1.2308,6.0278,385.887,6.039,1.2034,5.4157,-385.887,5.908,1.2034,5.4161,-385.887,5.908,1.2308,6.0273,385.887,6.039,1.2172,5.7219,0.0,5.974
0.84,12.228,50.0,50.0,4.009259,0.0,1.2312,6.0377,391.583,6.039,1.2031,5.4082,-391.583,5.905,1.2031,5.4087,-391.583,5.905,1.2312,6.0372,391.583,6.039,1.2173,5.7231,0.0,5.973
0.86,12.232,50.0,50.0,4.00926,0.0,1.2317,6.0477,397.031,6.04,1.2028,5.4011,-397.031,5.901,1.2028,5.4016,-397.031,5.901,1.2316,6.0472,397.031,6.039,1.2174,5.7246,0.0,5.971
0.88,12.236,50.0,50.0,4.009261,0.0,1.2321,6.0578,402.229,6.04,1.2025,5.3944,-402.229,5.898,1.2025,5.3949,-402.229,5.898,1.2321,6.0572,402.229,6.04,1.2174,5.7263,0.0,5.97
0.9,12.239,50.0,50.0,4.009263,0.0,1.2325,6.0679,407.172,6.04,1.2022,5.388,-407.172,5.895,1.2022,5.3886,-407.172,5.895,1.2325,6.0673,407.172,6.04,1.2175,5.7283,0.0,5.968
0.92,12.243,50.0,50.0,4.009264,0.0,1.233,6.0781,411.859,6.04,1.202,5.3821,-411.859,5.892,1.202,5.3827,-411.859,5.892,1.2329,6.0775,411.859,6.04,1.2176,5.7305,0.0,5.967
0.94,12.247,50.0,50.0,4.009266,0.0,1.2334,6.0883,416.285,6.04,1.2017,5.3765,-416.285,5.888,1.2018,5.3771,-416.285,5.889,1.2334,6.0876,416.285,6.04,1.2177,5.7328,0.0,5.965
0.96,12.251,50.0,50.0,4.009267,0.0,1.2338,6.0984,420.448,6.041,1.2015,5.3712,-420.448,5.885,1.2015,5.3719,-420.448,5.886,1.2338,6.0977,420.448,6.04,1.2179,5.7353,0.0,5.964
0.98,12.255,50.0,50.0,4.009269,0.0,1.2343,6.1086,424.346,6.041,1.2013,5.3664,-424.346,5.883,1.2013,5.3671,-424.346,5.883,1.2342,6.1078,424.346,6.041,1.218,5.738,0.0,5.963
1.0,12.259,50.0,50.0,4.009271,0.0,1.2347,6.1186,427.975,6.041,1.2011,5.3618,-427.975,5.88,1.2012,5.3626,-427.975,5.88,1.2346,6.1178,427.975,6.041,1.2181,5.7409,0.0,5.961
1.02,12.263,50.0,50.0,4.009273,0.0,1.2351,6.1286,431.335,6.041,1.201,5.3577,-431.335,5.877,1.201,5.3585,-431.335,5.877,1.2351,6.1278,431.335,6.041,1.2183,5.7438,0.0,5.96
1.04,12.266,50.0,50.0,4.009275,0.0,1.2355,6.1386,434.422,6.041,1.2008,5.3538,-434.422,5.874,1.2008,5.3547,-434.422,5.875,1.2355,6.1377,434.422,6.041,1.2184,5.7469,0.0,5.959
1.06,12.27,50.0,50.0,4.009277,0.0,1.2359,6.1484,437.234,6.042,1.2007,5.3503,-437.234,5.872,1.2007,5.3513,-437.234,5.872,1.2359,6.1474,437.234,6.041,1.2185,5.7502,0.0,5.958
1.08,12.274,50.0,50.0,4.009279,0.0,1.2363,6.158,439.771,6.042,1.2005,5.3472,-439.771,5.869,1.2006,5.3482,-439.771,5.87,1.2363,6.157,439.771,6.042,1.2187,5.7535,0.0,5.957
1.1,12.278,50.0,50.0,4.009281,0.0,1.2367,6.1676,442.029,6.042,1.2004,5.3444,-442.029,5.867,1.2005,5.3454,-442.029,5.867,1.2367,6.1665,442.029,6.042,1.2188,5.757,0.0,5.956
1.12,12.281,50.0,50.0,4.009283,0.0,1.2371,6.177,444.009,6.042,1.2003,5.3419,-444.009,5.865,1.2004,5.343,-444.009,5.865,1.2371,6.1759,444.009,6.042,1.219,5.7605,0.0,5.955
1.14,12.285,50.0,50.0,4.009286,0.0,1.2375,6.1862,445.708,6.042,1.2002,5.3397,-445.708,5.862,1.2003,5.3409,-445.708,5.863,1.2375,6.1851,445.708,6.042,1.2192,5.7641,0.0,5.954
1.16,12.289,50.0,50.0,4.009288,0.0,1.2379,6.1953,447.125,6.042,1.2002,5.3379,-447.125,5.86,1.2002,5.3391,-447.125,5.86,1.2378,6.1941,447.125,6.042,1.2193,5.7678,0.0,5.953
1.18,12.293,50.0,50.0,4.00929,0.0,1.2383,6.2042,448.26,6.042,1.2001,5.3364,-448.26,5.858,1.2002,5.3377,-448.26,5.858,1.2382,6.2029,448.26,6.042,1.2195,5.7716,0.0,5.952
1.2,12.296,50.0,50.0,4.009293,0.0,1.2386,6.2129,449.112,6.042,1.2001,5.3353,-449.112,5.856,1.2002,5.3366,-449.112,5.856,1.2386,6.2115,449.112,6.042,1.2197,5.7754,0.0,5.951
1.22,12.3,50.0,50.0,4.009295,0.0,1.239,6.2213,449.68,6.042,1.2001,5.3344,-449.68,5.854,1.2001,5.3358,-449.68,5.854,1.2389,6.2199,449.68,6.042,1.2198,5.7793,0.0,5.95
1.24,12.303,50.0,50.0,4.009298,0.0,1.2393,6.2296,449.964,6.042,1.2001,5.3339,-449.964,5.852,1.2001,5.3354,-449.964,5.853,1.2392,6.2281,449.964,6.042,1.22,5.7833,0.0,5.949
1.26,12.307,50.0,50.0,4.009301,0.0,1.2367,6.2376,-449.964,6.042,1.2031,5.3337,449.964,5.851,1.2031,5.3352,449.964,5.851,1.2367,6.2361,-449.964,6.042,1.2202,5.7873,0.0,5.948
1.28,12.311,50.0,50.0,4.009303,0.0,1.2343,6.1769,-449.68,6.028,1.2059,5.4013,449.68,5.864,1.206,5.4029,449.68,5.864,1.2343,6.1753,-449.68,6.027,1.2204,5.7914,0.0,5.947
1.3,12.314,50.0,50.0,4.009306,0.0,1.2321,6.1207,-449.112,6.014,1.2085,5.4649,449.112,5.876,1.2086,5.4665,449.112,5.876,1.232,6.1191,-449.112,6.014,1.2205,5.7955,0.0,5.946
1.32,12.318,50.0,50.0,4.009309,0.0,1.2301,6.0687,-448.26,6.002,1.211,5.5247,448.26,5.887,1.2111,5.5264,448.26,5.887,1.23,6.067,-448.26,6.001,1.2207,5.7996,0.0,5.945
1.34,12.321,50.0,50.0,4.009312,0.0,1.2282,6.0206,-447.125,5.99,1.2133,5.5809,447.125,5.897,1.2134,5.5827,447.125,5.897,1.2281,6.0188,-447.125,5.99,1.2209,5.8038,0.0,5.944
1.36,12.325,50.0,50.0,4.009315,0.0,1.2264,5.9761,-445.708,5.979,1.2155,5.6338,445.708,5.907,1.2156,5.6357,445.708,5.907,1.2263,5.9743,-445.708,5.978,1.2211,5.808,0.0,5.944
1.38,12.328,50.0,50.0,4.009317,0.0,1.2248,5.935,-444.009,5.969,1.2175,5.6834,444.009,5.916,1.2176,5.6854,444.009,5.916,1.2247,5.9331,-444.009,5.968,1.2213,5.8122,0.0,5.943
1.4,12.332,50.0,50.0,4.00932,0.0,1.2233,5.8972,-442.029,5.959,1.2194,5.7301,442.029,5.924,1.2195,5.7321,442.029,5.924,1.2232,5.8952,-442.029,5.959,1.2215,5.8165,0.0,5.942
1.42,12.335,50.0,50.0,4.009323,0.0,1.2219,5.8623,-439.771,5.95,1.2212,5.7738,439.771,5.931,1.2213,5.7758,439.771,5.932,1.2218,5.8603,-439.771,5.95,1.2216,5.8207,0.0,5.941
1.44,12.339,50.0,50.0,4.009326,0.0,1.2206,5.8302,-437.234,5.942,1.2229,5.8148,437.234,5.938,1.223,5.8169,437.234,5.939,1.2205,5.8282,-437.234,5.941,1.2218,5.825,0.0,5.94
1.46,12.342,50.0,50.0,4.009329,0.0,1.2194,5.8008,-434.422,5.934,1.2244,5.8533,434.422,5.945,1.2245,5.8554,434.422,5.945,1.2193,5.7987,-434.422,5.933,1.222,5.8294,0.0,5.94
1.48,12.346,50.0,50.0,4.009332,0.0,1.2183,5.7738,-431.335,5.926,1.2259,5.8893,431.335,5.951,1.226,5.8915,431.335,5.951,1.2183,5.7717,-431.335,5.926,1.2222,5.8337,0.0,5.939
1.5,12.349,50.0,50.0,4.009335,0.0,1.2174,5.7492,-427.975,5.92,1.2272,5.923,427.975,5.956,1.2273,5.9253,427.975,5.957,1.2173,5.747,-427.975,5.919,1.2224,5.838,0.0,5.938
1.52,12.353,50.0,50.0,4.009338,0.0,1.2165,5.7267,-424.346,5.913,1.2285,5.9546,424.346,5.961,1.2286,5.9569,424.346,5.961,1.2164,5.7245,-424.346,5.913,1.2226,5.8424,0.0,5.938
1.54,12.356,50.0,50.0,4.009341,0.0,1.2157,5.7063,-420.448,5.907,1.2297,5.9841,420.448,5.966,1.2298,5.9864,420.448,5.966,1.2156,5.704,-420.448,5.907,1.2228,5.8467,0.0,5.937
1.56,12.359,50.0,50.0,4.009344,0.0,1.2149,5.6878,-416.285,5.902,1.2308,6.0116,416.285,5.97,1.2309,6.014,416.285,5.97,1.2148,5.6855,-416.285,5.901,1.223,5.8511,0.0,5.936
1.58,12.363,50.0,50.0,4.009347,0.0,1.2143,5.6711,-411.859,5.897,1.2318,6.0373,411.859,5.973,1.2319,6.0397,411.859,5.974,1.2142,5.6688,-411.859,5.896,1.2231,5.8554,0.0,5.935
1.6,12.366,50.0,50.0,4.00935,0.0,1.2137,5.6561,-407.172,5.892,1.2328,6.0613,407.172,5.977,1.2329,6.0637,407.172,5.977,1.2136,5.6538,-407.172,5.891,1.2233,5.8598,0.0,5.935
1.62,12.369,50.0,50.0,4.009353,0.0,1.2132,5.6428,-402.229,5.887,1.2336,6.0836,402.229,5.98,1.2337,6.086,402.229,5.98,1.2131,5.6405,-402.229,5.887,1.2235,5.8642,0.0,5.934
1.64,12.373,50.0,50.0,4.009356,0.0,1.2127,5.631,-397.031,5.883,1.2345,6.1043,397.031,5.982,1.2346,6.1067,397.031,5.983,1.2126,5.6286,-397.031,5.883,1.2237,5.8685,0.0,5.933
1.66,12.376,50.0,50.0,4.009358,0.0,1.2123,5.6207,-391.583,5.88,1.2352,6.1235,391.583,5.985,1.2353,6.126,391.583,5.985,1.2122,5.6183,-391.583,5.879,1.2239,5.8729,0.0,5.933
1.68,12.379,50.0,50.0,4.009361,0.0,1.212,5.6117,-385.887,5.876,1.2359,6.1413,385.887,5.987,1.236,6.1438,385.887,5.987,1.2119,5.6093,-385.887,5.876,1.2241,5.8772,0.0,5.932
1.7,12.382,50.0,50.0,4.009364,0.0,1.2117,5.604,-379.948,5.873,1.2366,6.1578,379.948,5.989,1.2367,6.1603,379.948,5.989,1.2116,5.6016,-379.948,5.872,1.2243,5.8816,0.0,5.931
1.72,12.386,50.0,50.0,4.009367,0.0,1.2115,5.5975,-373.768,5.87,1.2372,6.173,373.768,5.99,1.2373,6.1755,373.768,5.991,1.2114,5.5952,-373.768,5.87,1.2245,5.8859,0.0,5.931
1.74,12.389,50.0,50.0,4.00937,0.0,1.2113,5.5922,-367.353,5.867,1.2377,6.187,367.353,5.992,1.2378,6.1895,367.353,5.992,1.2112,5.5899,-367.353,5.867,1.2246,5.8903,0.0,5.93
1.76,12.392,50.0,50.0,4.009373,0.0,1.2112,5.5881,-360.705,5.865,1.2382,6.1999,360.705,5.993,1.2383,6.2024,360.705,5.993,1.2111,5.5857,-360.705,5.864,1.2248,5.8946,0.0,5.93
1.78,12.395,50.0,50.0,4.009376,0.0,1.2111,5.5849,-353.83,5.863,1.2387,6.2117,353.83,5.994,1.2388,6.2141,353.83,5.994,1.211,5.5826,-353.83,5.862,1.225,5.8989,0.0,5.929
1.8,12.398,50.0,50.0,4.009378,0.0,1.211,5.5828,-346.731,5.861,1.2391,6.2224,346.731,5.994,1.2392,6.2248,346.731,5.995,1.2109,5.5804,-346.731,5.86,1.2252,5.9033,0.0,5.928
1.82,12.401,50.0,50.0,4.009381,0.0,1.211,5.5816,-339.413,5.859,1.2394,6.2322,339.413,5.995,1.2395,6.2346,339.413,5.995,1.2109,5.5793,-339.413,5.859,1.2254,5.9076,0.0,5.928
1.84,12.405,50.0,50.0,4.009384,0.0,1.211,5.5813,-331.881,5.858,1.2398,6.241,331.881,5.995,1.2399,6.2434,331.881,5.996,1.2109,5.579,-331.881,5.857,1.2256,5.9119,0.0,5.927
1.86,12.408,50.0,50.0,4.009387,0.0,1.2111,5.5819,-324.139,5.856,1.2401,6.2489,324.139,5.995,1.2402,6.2513,324.139,5.996,1.211,5.5796,-324.139,5.856,1.2258,5.9161,0.0,5.927
1.88,12.411,50.0,50.0,4.00939,0.0,1.2112,5.5832,-316.192,5.855,1.2403,6.256,316.192,5.995,1.2404,6.2583,316.192,5.996,1.2111,5.581,-316.192,5.855,1.2259,5.9204,0.0,5.926
1.9,12.414,50.0,50.0,4.009392,0.0,1.2113,5.5854,-308.046,5.854,1.2406,6.2622,308.046,5.995,1.2407,6.2645,308.046,5.995,1.2112,5.5832,-308.046,5.854,1.2261,5.9247,0.0,5.925
1.92,12.417,50.0,50.0,4.009395,0.0,1.2115,5.5883,-299.705,5.853,1.2408,6.2677,299.705,5.995,1.2409,6.27,299.705,5.995,1.2114,5.5861,-299.705,5.853,1.2263,5.9289,0.0,5.925
1.94,12.42,50.0,50.0,4.009398,0.0,1.2117,5.5919,-291.175,5.853,1.2409,6.2724,291.175,5.994,1.241,6.2747,291.175,5.995,1.2116,5.5897,-291.175,5.852,1.2265,5.9331,0.0,5.924
1.96,12.423,50.0,50.0,4.009401,0.0,1.2119,5.5962,-282.461,5.852,1.2411,6.2765,282.461,5.994,1.2412,6.2787,282.461,5.994,1.2118,5.594,-282.461,5.852,1.2267,5.9374,0.0,5.924
1.98,12.426,50.0,50.0,4.009403,0.0,1.2121,5.6011,-273.569,5.852,1.2412,6.2798,273.569,5.993,1.2413,6.282,273.569,5.993,1.212,5.599,-273.569,5.851,1.2269,5.9416,0.0,5.923
2.0,12.429,50.0,50.0,4.009406,0.0,1.2124,5.6066,-264.503,5.852,1.2413,6.2825,264.503,5.992,1.2414,6.2847,264.503,5.992,1.2123,5.6046,-264.503,5.851,1.227,5.9457,0.0,5.923
2.02,12.432,50.0,50.0,4.009409,0.0,1.2127,5.6128,-255.271,5.851,1.2414,6.2846,255.271,5.991,1.2414,6.2867,255.271,5.991,1.2126,5.6107,-255.271,5.851,1.2272,5.9499,0.0,5.922
2.04,12.435,50.0,50.0,4.009411,0.0,1.213,5.6194,-245.877,5.851,1.2414,6.2861,245.877,5.99,1.2415,6.2882,245.877,5.99,1.2129,5.6174,-245.877,5.851,1.2274,5.9541,0.0,5.922
2.06,12.438,50.0,50.0,4.009414,0.0,1.2133,5.6266,-236.329,5.852,1.2414,6.2871,236.329,5.989,1.2415,6.2891,236.329,5.989,1.2133,5.6247,-236.329,5.851,1.2276,5.9582,0.0,5.921
2.08,12.441,50.0,50.0,4.009417,0.0,1.2137,5.6344,-226.63,5.852,1.2414,6.2875,226.63,5.987,1.2415,6.2895,226.63,5.988,1.2136,5.6325,-226.63,5.851,1.2277,5.9623,0.0,5.92
2.1,12.443,50.0,50.0,4.00942,0.0,1.2141,5.6426,-216.789,5.852,1.2414,6.2874,216.789,5.986,1.2415,6.2893,216.789,5.986,1.214,5.6407,-216.789,5.852,1.2279,5.9664,0.0,5.92
2.12,12.446,50.0,50.0,4.009422,0.0,1.2145,5.6512,-206.811,5.853,1.2413,6.2868,206.811,5.984,1.2414,6.2887,206.811,5.985,1.2144,5.6494,-206.811,5.852,1.2281,5.9705,0.0,5.919
2.14,12.449,50.0,50.0,4.009425,0.0,1.2149,5.6604,-196.702,5.853,1.2413,6.2857,196.702,5.983,1.2414,6.2876,196.702,5.983,1.2148,5.6586,-196.702,5.853,1.2283,5.9746,0.0,5.919
2.16,12.452,50.0,50.0,4.009428,0.0,1.2153,5.6699,-186.469,5.854,1.2412,6.2842,186.469,5.981,1.2413,6.286,186.469,5.981,1.2153,5.6682,-186.469,5.854,1.2284,5.9786,0.0,5.918
2.18,12.455,50.0,50.0,4.00943,0.0,1.2158,5.6798,-176.118,5.855,1.2411,6.2823,176.118,5.979,1.2412,6.284,176.118,5.98,1.2157,5.6782,-176.118,5.854,1.2286,5.9826,0.0,5.918
2.2,12.458,50.0,50.0,4.009433,0.0,1.2162,5.6902,-165.656,5.856,1.241,6.2799,165.656,5.978,1.241,6.2816,165.656,5.978,1.2162,5.6886,-165.656,5.855,1.2288,5.9867,0.0,5.917
2.22,12.46,50.0,50.0,4.009436,0.0,1.2167,5.7009,-155.089,5.857,1.2408,6.2772,155.089,5.976,1.2409,6.2788,155.089,5.976,1.2167,5.6993,-155.089,5.856,1.2289,5.9906,0.0,5.917
2.24,12.463,50.0,50.0,4.009438,0.0,1.2172,5.7119,-144.425,5.858,1.2407,6.274,144.425,5.974,1.2408,6.2756,144.425,5.974,1.2172,5.7104,-144.425,5.857,1.2291,5.9946,0.0,5.916
2.26,12.466,50.0,50.0,4.009441,0.0,1.2177,5.7233,-133.669,5.859,1.2405,6.2705,133.669,5.972,1.2406,6.2721,133.669,5.972,1.2177,5.7218,-133.669,5.858,1.2293,5.9986,0.0,5.916
2.28,12.469,50.0,50.0,4.009443,0.0,1.2183,5.735,-122.828,5.86,1.2404,6.2667,122.828,5.97,1.2404,6.2682,122.828,5.97,1.2182,5.7336,-122.828,5.86,1.2295,6.0025,0.0,5.915
2.3,12.471,50.0,50.0,4.009446,0.0,1.2188,5.747,-111.91,5.861,1.2402,6.2625,111.91,5.967,1.2402,6.2639,111.91,5.968,1.2187,5.7456,-111.91,5.861,1.2296,6.0064,0.0,5.915
2.32,12.474,50.0,50.0,4.009449,0.0,1.2193,5.7593,-100.922,5.862,1.24,6.258,100.922,5.965,1.24,6.2594,100.922,5.966,1.2193,5.7579,-100.922,5.862,1.2298,6.0103,0.0,5.915
2.34,12.477,50.0,50.0,4.009451,0.0,1.2199,5.7718,-89.869,5.864,1.2397,6.2532,89.869,5.963,1.2398,6.2546,89.869,5.963,1.2198,5.7705,-89.869,5.864,1.23,6.0142,0.0,5.914
2.36,12.479,50.0,50.0,4.009454,0.0,1.2205,5.7846,-78.76,5.865,1.2395,6.2481,78.76,5.961,1.2396,6.2494,78.76,5.961,1.2204,5.7834,-78.76,5.865,1.2301,6.018,0.0,5.914
